ACCOUNT_NUM.hash,package,ratings
9c3d4573bc4ec3b13fece03acb36986b,Web LITE,0.411458333
7c4d48b50e8a010086b0f9dae74dd9ed,Entree,0.057291667
9d321a8fb656c622471696a2bc758f5c,Web LITE,0
9e19da5eef4cce597645ed6914fe72f3,Web PAL,0.232638889
69cfc0b43f9c40410b85d1c844eb90a8,Web Starter,0.765625
c148b260600621385036a5c7c3a9b13f,Web Family Plus,0.375
d775fe395d1842e6dfbed53720732d11,Web LITE,0.463541667
9dbc0644cab80d4ffd2ed766e6129660,Web PAL,0.609375
aa912c4d4956432273d96d86698fe893,Web LITE,0.114583333
6a02dc3d96bb23927f2e431cdf91b25a,Web Starter,0.345486111
9d2f5d0f09198069413924db9a10d1c3,Web Family Plus,0.399305556
0a51c034ddd90f3dd18f2180d0027646,Web Family Xtra,0.916666667
4c68d8194d71484592853da65e3c28a2,Student Package 1,0
94220dd56ffe14ec1bf5f13045a7587d,Web Family Plus,0.364583333
eefbb94b21717895e030be214a81e443,Student Package 1,0
3c502de03c83a5ab2b0611acea658f02,Web PAL,0
16195d6ea26221cbf854e51521778d07,Any Joy,0.085069444
296a3019fe9e13a6b2414a7f1f24651e,Web PAL,0.010416667
f9d3e41bc42777e69dc59dd8737f4131,Web Starter,0.260416667
276dd23beb90c75a95dada62490cd142,Web Family Xtra,0.197916667
4dc580d935b3ea0e73a38c74abf31740,Any Joy,0.151041667
e17407c2f6581dc7f32e9e3c30e6e64b,Web Family Plus,0.151041667
527bee55410e283d6f39f8f333688afd,Web LITE,0.199652778
70e0cf7c9948a51b68357ce9cb9e5058,Web Family Plus,0.074652778
51656811642244c0088c3a48c415acb4,Web PAL,0.052083333
57789b66b39aed309cd52345e4332cb5,Web LITE,0.251736111
52e7c04d12cb33c77031760584a9586e,Web Master,0
585c061210db2ec30816acae534b0431,Web LITE,0
44115c9e000a5947c1f515a8e959f761,Web LITE,0.060763889
c3b10e6cfe7e5bd2bd9659dce5b01333,Web Family Plus,0
02bda578c6252a455845788de8766d69,Web PAL,0.697916667
8f4b32b951ae23068e0b536ac887a5cf,Web Starter,0
690534cfb7ce9e883e7a2156822a79b4,Web LITE,0.178819444
a680a155a6a24890b6c3ae8c94870ad3,Web PAL,0.359375
0428ed3b8393d8dfb8ff616d8cad7e15,Web PAL,0.211805556
268149853c4ab63714b8b72c196d398b,Web LITE,0.604166667
62bd8ebb6ff7c3676ef87c700ed15758,Web LITE,0.447916667
9c2f2da142c4ad4b8f24e3e3e2b93be6,SLT Staff Web Family Plus,0.770833333
b281748996ed0ffd220f33b2ffffe3a8,Any Beat,0.25
3dfef04ef41e3a36d3474f8c27123fa7,Broadband Experience Package,0
6da79766c57e021ac88dde68805bb2b3,z Sales End_SLT Staff Home,0.260416667
cefbe42bbe04263069a50f0cedf46279,Web LITE,0.401041667
2eca1f684f6a5d6037f9f76c3e291324,Web LITE,0
24bfbfaec2e2087b143006a0d8821a07,Abhimaana,0.072916667
774dc3b83ad4206d606eb9d6e0cd61c0,Web LITE,0.588541667
719f2691cdcfa7bf910e12d8ed681430,Web LITE,0
955d85e4155cbea0a3539f2f69ee1e38,z Sales End_Home,0.84375
7aa88a8f213887428df1ff0b913a6858,Any Flix,0.064236111
8dc9cff7d04b2aa584987ce723aa8dad,Student Package 1,0.074652778
5285d0b42789bc9ca23c2b10b1861071,Web LITE,0
5e3aafebf2d2870663cf0b4db380bc93,Web LITE,0.1875
da01cc6de13234534379e0424b72745b,Web Starter,0.157986111
f090fb442ca3949264f46a455fee7fdc,Student Package 2,0.241319444
63668d395005d8ab57e9578c744800c4,Web LITE,0.194444444
c0a88f2479212769ade8a150e610833c,Web Family Plus,0.59375
066323e15583647d5102a831aa53aba7,z Sales End_Office,0
dba737b29330ff976f996c0ed532c3f0,Web LITE,0.199652778
1570296aa594bcb2f18af36c941f7136,Web Starter,0.581597222
4359778723049a27b7de3710103410fe,Student Package 1,0.34375
bfe4aff48b39bf352f7b5b88b0223052,Web LITE,0.567708333
34d5b9f153dd0cf51493dc75a67bf7e7,Web Master,0.911458333
fbfdb60177fd5265eb5f0dc6a5f786a6,Web LITE,0
f914d14f1f69c4d0e5edae1e10b74a0c,Web LITE,0.145833333
1d37487e1a255b2fc890ba502613af24,Web Starter,0.645833333
f530fa175c025159cdd33507a7f3d426,Web Family Plus,0
4b49c1b47d4058564fd608c0b218290c,Entree,0.154513889
54c9ca66692737b061241af954393153,Broadband Experience Package,0
65cce651b98a11d800b8a7222b59d48f,Student Package 1,0.149305556
3cefbbcdb285819f2918aacd618b36ff,Web LITE,0
bb5ef0231629690dab36f1552b70770b,Web Starter,0.072916667
e0760f53a2674153062261e224db3f3f,Web Family Plus,0.921875
0343a21cd63098883687b660b665d3ee,Web LITE,0
58731d05cb1202eee96142ae3c43185d,Any Joy,0.239583333
8253331c282b15c0ec336141a71bb428,Student Package 1,0
387e51b4318301d87293fee085b09d42,Web LITE,0.291666667
40417b6bf0445bda685b7e4f26bd849c,Web PAL,0.802083333
c7ac875d9d22beb42ecc6f641e749567,Any Joy,0.364583333
1d3867506cf21bde45bfa05a30476ce6,Broadband Experience Package,0
561765580fd11861e535c2d10e6f4126,Any Joy,0.005208333
3a4c511838c35fd79cef93fc0a9d1236,Web LITE,0
44224bc1e2e7101c90bbad70dbcc5a6c,Any Flix,0
1720696a0cc0328d0bef44d8bc538f8f,Web Starter,0.53125
f0fd9b5c9e3bfe5e4175264d0506d341,Entree,0.520833333
9b711e39affb4e5a7a364787253d4c09,Web Family Plus,0.875
ee7a281deefadb6ed5ab9eb6a497fdf8,Abhimaana,0
923659db0ab915e85c7c0c6aa499a0b9,Web Starter,0.776041667
62792947cf07417aac4ffb4b80fb66e2,Student Package 1,0.402777778
1e9ce94bff39a12fb81791da5e46c5d5,Web LITE,0
c4cdbf78ef3d51bc7877a0ad444bd245,Web LITE,0
fc634f2827c53ca663b3dd974acc6a0c,Web LITE,0.069444444
f4fbb505ab38dec40e123a0f1badd228,Web LITE,0.744791667
90a256613a34fff9fa4a673439ae61bb,SLT Staff Web Family Plus,0.701388889
65ce9d0763b58b9750bf8a8a464cb47a,Web LITE,0.53125
932f6817736c16f922247ffbc4ee5a6d,Broadband Experience Package,0
dd596ae893293795f843346230b7c3a5,Web LITE,0.121527778
f2181e4715959582916d6ac54735c1eb,Student Package 1,0
04a8a3dedaecb4eef8998f146952cdbb,Web Family Plus,0.095486111
df54f3cec9f5152d8e114e24368096fd,Web PAL,0.536458333
5fd4008dfb0c4c1ec262366c3ca826be,Web LITE,0.328125
c68667b1f27b1d6844cb1c670e2d0755,Web LITE,0
8a5195e86fa4439113e96300694dbd95,Web Starter,0
1702697759a3ecc980b0b6e0624b4374,Web LITE,0.53125
ede45f415a9c8c7c0ff7580af241c2e3,z Sales End_Home,0
b687df66a7c6bddc1023db596c4f3c2a,Student Package 2,0.375
59600c518e06137a7cfce173bb795123,Web PAL,0.560763889
f2291ef84e409b5237fe4f2fa55613ae,Web Family Plus,0.060763889
dd4370f9b5dc919f9869f092b0fab76c,Web PAL,0.119791667
c454c58952c9380f8729d124925f9d0d,Web Champ,1
ba25e1286ffc8426562e04c54730e70f,Web Family Plus,0.487847222
c38262bab4b90baad59b941003dab510,Web LITE,0
cc7d16b0e029443d0fadd6c2b903b546,Student Package 1,0.324652778
c4b3d2beb32b7b06d5c0c639cca5dd46,Student Package 1,0.630208333
af4715a7563a0b1fdebcd5c5ecbb88a0,Student Package 1,0
7c5adff3a58730b7e6144c73aa4316bf,Student Package 1,0.170138889
1dfdca56f88f2edd7db6bb009a32aa15,Web Family Xtra,1
119204faf1524da9eb0a705a7f026ca5,Student Package 1,0
b5ec87b9e21962ef5cb9788b1843aa84,Web Starter,0.666666667
fbc3bb19ac95cf245f78b7ac686e4ddd,Web LITE,0.072916667
9681bedc89c1a1cd446b7c20117af75b,Web Starter,0.661458333
40b83b2408241641beda57ccda54ea1f,Web Family Xtra,0.755208333
