,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,Peo_VAS_Package,Peo_VAS_Month_Subscribed,Peo_VAS_Rental,Peo_VAS_One_Time_Charge,VAS_Count
261,07612c12491ec2936216847b8c9749a1,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['E_SLT PeoTV Service'],['2018-09'],[899.0],[0.0],1
262,077f5b0a471e00189840b40a10daec3c,6bf0304d07d92ed2d0b1bf295c85e375,5465aca9b2130d671fd1965fced9e8cb,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
263,07805fe0a2893597159cb1ee68851dae,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['E_SLT PeoTV Service'],['2018-08'],[0],[0.0],1
264,07818461fc4c2da3993041f36477ef6e,f22295dcdeb9502825e7d6140bbf8542,d4529a42fb85d23b1589bf04a1b637d6,['BB_PeoTVGO'],['2018-09'],[0],[0.0],1
265,0787b3fd223b8af51639c2cb829703f5,cc88c49f580c13600e99dfd9920d05e9,ac995f79a7164b89de084396352b343b,['BB_PeoTVGO'],['2018-07'],[0],[0.0],1
266,079e9cf65d4b40324261e4d44fce7943,f359060a93c6d3e5f517d61ab2030de4,a749f57f9dcf680c71ee94b215a8a9cb,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
267,07a45a5c0b544c8f79f659c2c00c4c26,9017aea7b442570443e5a1ab8d16df5e,57f2f1aaffd9dc3b07acb600ecdd79b4,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
268,07a7952980651278649147e06c2a1de2,41eb0e2cddc221c0d36d27d1a1b9426c,f4b566d56880e6d5d33009eee94a652a,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
269,07a8e699e5b204f35b8e580030513ded,daa74e4f9afbb374acc64969fe778808,dffc1c556d835833616d2e57b50ed4b2,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
270,07aac4abb9837460b519a2a8a7b59c2c,af66a61a98c385584e3fccfd8dcc5412,1eca97f3ce8ee40e866677fdccc1d60e,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
271,07b8b5746370c8969bd5be10065d139d,f713231c30190fe6e8c3c88a8ec6cd20,7499b6c6b62bd04921049aac792d2a06,['BB_PeoTVGO'],['2019-01'],[0],[0.0],1
272,07becca81db2490b105b624351539d06,02059e815d999bda708149ae263946d3,45636ddd123db631d63e246c5d004400,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
273,07c0185afc1cfc34129083edba083019,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['E_SLT PeoTV Service'],['2018-08'],[0],[0.0],1
274,07c0a52a319298330345549cb0645497,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
275,07c10af89e32ee3ec438820ac7bbdff4,9e3c8e8815ca1bcdc77f122d1d68741b,51492e1ad57da22075c95828de318c5e,['E_SLT PeoTV Service'],['2018-08'],[550.0],[0.0],1
276,07c2bc7c7b3a0e5a261812f4ecfae8b3,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['E_SLT PeoTV Service'],['2016-05'],[899.0],[0.0],1
277,07eb568fb2c5969b4628bbbe85d2ab0a,006ff446f4e8c78e943f8ea7ee9f7388,65e56807580afcb5b825397daedd69df,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
278,07f5dbbf9c2f2736fa204ae1f8779d65,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_PeoTVGO Revenue code'],['2020-04'],[249],[0.0],1
279,08032c78eed5558454deee80c5149cae,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
