,ACCOUNT_NUM.hash,TARIFF_NAME,BB_Package,TARIFF_ID,BSS Name,Attribute,MEDIUM_INFO
4561,4c20ffe07d68114e38628282f4741f96,Web Pro,Web Pro,25629.0,Web Pro,Access Link Type,COPPER
4562,20ff694f3812ba48d6df5224cec9a8ad,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4563,616310216be0dc80b989f0b382566a10,Web Pro,Web Pro,25629.0,Web Pro,Access Link Type,COPPER
4564,0cd561688ffdbb26b95105c0b3095c9f,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4565,1143ae8e0c26c8865f4aba431c94a67d,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4566,f8f6f162438d2d1a4d0987cabe2b545b,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4567,65ce9d0763b58b9750bf8a8a464cb47a,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4568,dd596ae893293795f843346230b7c3a5,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4569,8b50eb0e7a3a77ad893ae125e9ab99d6,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4570,d3e92a3b5f6d9389270489a762cd5b89,Web Family Xtra,Web Family Xtra,25628.0,Web Surfer,Access Link Type,COPPER
4571,d765222ea40ea5c392a74c56c7496fbe,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4572,0eb900938bb700f62335d6a30deb1416,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4573,1720696a0cc0328d0bef44d8bc538f8f,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4574,08bb7407e5239757dc56b8d80c2567d0,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4575,e663fbf3213003f51afef0eb6a2c665c,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4576,6ccc9078aebb8c95f543a655d598103d,Entree,Entree,25652.0,Entrée,Access Link Type,COPPER
4577,0be59dc046f0cbed83ddb8af3ce2816a,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4578,ac1c84bef83225528af864a119a4599e,Web Family Plus,Web Family Plus,25627.0,Web Mate,Access Link Type,COPPER
4579,4f7fdfcc42cc8c27df007e52ae4356c0,Student Package 1,Student Package 1,25638.0,Student Package 1,Access Link Type,COPPER
4580,dcdd17007eadd786ef5e82e76a9afce4,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4581,ff029c28d1e61dc3fb8d9aba178a6d58,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4582,df3b09dc7654dda79efe637970199533,Web Starter,Web Starter,25631.0,Web Starter,Access Link Type,COPPER
4583,0f9d00f4d16206b6fbd1a36efd62a22e,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4584,b698662a793529c2855f4b571b89165b,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4585,57ab03baf87a9e430d7b256df884a4c1,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4586,c68667b1f27b1d6844cb1c670e2d0755,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
4587,9135d32e460f1607319ecd41d7e76ad6,Web Pal,Web PAL,25632.0,Web Pal,Access Link Type,COPPER
4588,2a9df80810bc200c1ad3613d8eefd53f,Web Lite,Web LITE,25646.0,Web Lite,Access Link Type,COPPER
