,Phone_Number.hash,PRODUCT_NAME,Product_Count,Product_Dict
47,225825fe07c51c0c58e4744565c03d4f,['M_Activation Charge'],1,{'225825fe07c51c0c58e4744565c03d4f': ['M_Activation Charge']}
48,22cc771a7d6bca13485e3d12ffe31c30,"['E_TSTV', 'E_Video on Demand']",2,"{'22cc771a7d6bca13485e3d12ffe31c30': ['E_TSTV', 'E_Video on Demand']}"
49,2307fe8b34b46d699fe55942803cea04,"['E_Referral offer Discount', 'AB_Referral offer Discount']",2,"{'2307fe8b34b46d699fe55942803cea04': ['E_Referral offer Discount', 'AB_Referral offer Discount']}"
50,23a39137697edbb30a094dd99a22a88f,"['V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_SLT Voice Service', 'V_Single VAS Bundle', 'V_DQ Contact Details', 'V_IDD', 'V_Absentee service', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding', 'V_Call Waiting']",11,"{'23a39137697edbb30a094dd99a22a88f': ['V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_SLT Voice Service', 'V_Single VAS Bundle', 'V_DQ Contact Details', 'V_IDD', 'V_Absentee service', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Call Forwarding', 'V_Call Waiting']}"
51,25bb001a9a7d38b64b7c97d98b82ef73,"['V_Outgoing Call Memory', 'V_Caller Line Identification', 'V_Abbreviated Dialing', 'V_Absentee service', 'V_Hotline Service', 'V_Call Forwarding', 'V_Call Waiting', 'V_Anonymous call barring', 'V_Call back on busy', 'V_Hotline-Time Delayed', 'V_Call Forwarding-On Busy', 'V_Call park', 'V_Call Transfer Three way', 'V_CLI presentation in call waiting', 'V_Incoming Call Memory', 'V_Incoming Call Transfer', 'V_Hotline-Immediate', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-No Answer', 'V_Call Forwarding by time', 'V_Call Forwarding Offline', 'V_Call holding']",22,"{'25bb001a9a7d38b64b7c97d98b82ef73': ['V_Outgoing Call Memory', 'V_Caller Line Identification', 'V_Abbreviated Dialing', 'V_Absentee service', 'V_Hotline Service', 'V_Call Forwarding', 'V_Call Waiting', 'V_Anonymous call barring', 'V_Call back on busy', 'V_Hotline-Time Delayed', 'V_Call Forwarding-On Busy', 'V_Call park', 'V_Call Transfer Three way', 'V_CLI presentation in call waiting', 'V_Incoming Call Memory', 'V_Incoming Call Transfer', 'V_Hotline-Immediate', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-No Answer', 'V_Call Forwarding by time', 'V_Call Forwarding Offline', 'V_Call holding']}"
52,268ced4cc2338ee9ae5deadef2dbbd27,"['V_SLT Voice Service', 'V_IDD', 'V_DQ Contact Details']",3,"{'268ced4cc2338ee9ae5deadef2dbbd27': ['V_SLT Voice Service', 'V_IDD', 'V_DQ Contact Details']}"
53,2728b95cea80b75e4e540e52d5f0f736,"['V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding']",8,"{'2728b95cea80b75e4e540e52d5f0f736': ['V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding']}"
54,27b7f28da49f510b171e0a65fc2e76ce,['AB_Megaline Startup'],1,{'27b7f28da49f510b171e0a65fc2e76ce': ['AB_Megaline Startup']}
55,286ae14a02441135faa18da8b6ceaf19,"['V_DQ Contact Details', 'V_IDD', 'V_Call back on busy', 'V_Incoming Call Transfer', 'V_Call Forwarding by time', 'V_Call park', 'V_Incoming Call Memory', 'V_Anonymous call barring', 'V_CLI presentation in call waiting', 'V_Call Transfer Three way', 'V_Call Forwarding Offline', 'V_Call holding', 'V_Outgoing Call Memory', 'E_TSTV', 'E_Video on Demand', 'E_PeoTV Initiation', 'V_SLT CLI', 'AB_Megaline', 'V_Double VAS Bundle', 'AB_Citylink Loyalty Rewards']",20,"{'286ae14a02441135faa18da8b6ceaf19': ['V_DQ Contact Details', 'V_IDD', 'V_Call back on busy', 'V_Incoming Call Transfer', 'V_Call Forwarding by time', 'V_Call park', 'V_Incoming Call Memory', 'V_Anonymous call barring', 'V_CLI presentation in call waiting', 'V_Call Transfer Three way', 'V_Call Forwarding Offline', 'V_Call holding', 'V_Outgoing Call Memory', 'E_TSTV', 'E_Video on Demand', 'E_PeoTV Initiation', 'V_SLT CLI', 'AB_Megaline', 'V_Double VAS Bundle', 'AB_Citylink Loyalty Rewards']}"
56,29126104c89f72a50253c47ca6de2c29,['V-Plus1_TeleLife'],1,{'29126104c89f72a50253c47ca6de2c29': ['V-Plus1_TeleLife']}
57,29bc8ed1d20d19272780a18be9bb9d54,"['V_Single VAS Bundle', 'V_DQ Contact Details', 'AB_Megaline', 'V_IDD', 'V_SLT CLI', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Forwarding-Immediate', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_One-Time Detailed Bill', 'V_Hotline Service']",15,"{'29bc8ed1d20d19272780a18be9bb9d54': ['V_Single VAS Bundle', 'V_DQ Contact Details', 'AB_Megaline', 'V_IDD', 'V_SLT CLI', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Forwarding-Immediate', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_One-Time Detailed Bill', 'V_Hotline Service']}"
