,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,FREE_VAS_Package,FREE_VAS_Month_Subscribed,FREE_VAS_Rental,FREE_VAS_One_Time_Charge,VAS_Count
49,00a3ba9352d5a3eee7525ee735bf3a34,9886d2e4e61e33d0a4388667c7bfc68c,25765bc4c44f0184136f85a94d129d56,['V_SLT Voice Service'],['2019-07'],[399.0],[0.0],1
50,00a86310d7fab27fe11eedb531595a55,b30b53ebc3474896e19e08b36a4f6751,efeab37d377b0f32b7f70b159f824652,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
51,00a8c3e3baed0557c31ab9b68a086ed2,2f1d8e2ad12e57fce4419845e23ddcbd,af2e001f36d07ee6fbd327a1d641d78b,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
52,00b415795017c71c70259627e7c63022,6b4bfa1e32f513071c6b138a86c3bac9,0552174bba6950523aa45450f6690d02,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
53,00b5b3df7b92cf913549709477c79337,4c7a4769273c7a2eb4860a09f6376a70,b30293458c6565bc283bac15b92aa38d,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
54,00b6cf877c02d60af1b8cab1d1aade38,3063e07e33173513baf59a50747125d6,e62500c31346e6e5d64937f61785fcd4,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
55,00b6dcd917b7b1b99d833bdf635ae180,c71143375d930fc5b584cec62192d1ff,1e349cab50911a97090c6eab866b0863,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
56,00c3ebf3f1e83bc2cd27d3207ab3ddb9,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
57,00c4f6605e6357ed984d62ff46d6e1fb,d9b961170143b639ed40c1ec783fd8a5,37588bb60176b9a3511c81f8f79efafc,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
58,00c850a4a3eb3282ed50301186ff3067,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
59,00caba6222d7d2b9721cbca86ad2dab6,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
60,00cc5a820586ce291c0fa4c2a99a4816,0d4098a262a8bed6ac4253f42dfc5769,526ea6c86fb090085b41384fb442f0d3,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
61,00cdc20b1406e0a11c7500d5ef716d20,fac45c3800fe3b9a28cc124f692a9f4a,1a3bd9d23521b899ffc076457ea91710,['V_SLT Voice Service'],['2018-09'],[0],[0.0],1
62,00cdeaab12b17d169d170538c9af9594,f53c729fa6b9ce93c6b4bb190efe41b3,397c0d12bcc977110b8341d7b446ff0e,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
63,00ce90ae88c04d24846ff72fb3427431,9886d2e4e61e33d0a4388667c7bfc68c,25765bc4c44f0184136f85a94d129d56,['V_SLT Voice Service'],['2017-08'],[399.0],[0.0],1
64,00d1f690ec4af27702febbd0db6942c2,d8c630b63f91a0fb43a4e5fd4d9ca751,c130403284f493dd7429c8429647e58d,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
65,00d258d092429ff11d3e3f533f098177,4ddd3dc2b7a3fe4907f9806fc67ab627,2c3117cdabfe39b37d23dd7e04eca3fa,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
66,00d4474d7b8abcb71cc114a564769182,11607e3900456dce8a64bbe0fead07f3,e4af9682c9c0e573d1d22cf040dc5ab5,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
