,event_source.hash,CUSTOMER_REF.hash,ACCOUNT_NUM.hash,GENDER,BIRTH_YEAR,AGE
277,fd73c12f6e91de550e829a823f85f600,1ba5656974195b6c62b40dc93de7d1f7,c9db99a16c9bd165e350e83bb81ec22a,F,1973,48
279,ee3f17d911849afff7fb61d525a90541,048985e506be0f00028c8b162aeec8ef,5e60e5da9351ad15164d1dd71a78c1da,M,1966,55
280,310d3f59f6f6bbc08343e0d2569076e2,890d19e6cb1b4d9bad5c414387643582,ac8a69255cf626ec10bf2ba4732e869c,M,1962,59
281,a0b2a332d2bd73375da172bf3acd8d7b,fba32934dca5cf805be938f6da526f45,447af8c735336022f526b270b248fb53,F,1959,62
283,a5cac7db8f9cd669b3d425878dcbffd9,e16c698b5cfb20f9b266e0331848f308,8dc9cff7d04b2aa584987ce723aa8dad,M,1954,67
284,e47bf274e9c0beb01e776bf5bd3f495e,1b20cddf64d9b58f2ce4298e468079cf,0b300c8c3361b0a14d02bdd05d475960,M,1969,52
285,284ea6da090eb4fea79bd15a6b7b7315,097a6313803d9d475aa7a8ad1106bafd,db5dc085aa4b36d01ab6a9a713b08f20,M,1961,60
287,e79c49857e864267d51c59fe399af194,c030f89314e2d308c71d720e0deceef3,3c7eace1f13dcc079b522d213e440cc8,M,1961,60
288,43ca77a67dab08550e11c25e68f6b8e8,ffd515e8026e179339885ba8f0ebdd9f,e18253796b08fc1f15f105227f98d5c8,M,1975,46
289,38fa17c37f34b7c3cbab423c31f21c13,f41f4a792383e7a3201583c96830d71a,b91540d73ecca909f24bae226053a986,M,1957,64
291,fbfeb5f9c94ceed16035be418aadb06c,aff590723ef5dfc5825c3f83baa8a72e,5bacfb2cce2c7b3de15a2a6abed7ab81,M,1971,50
292,b7d5664e4933f87b7ce2d3dbfa818522,45c96b4e7e0b7c513ba1290b9f6c6517,ad6ded202737f800a34c995ea4449278,M,1965,56
293,2bc50f99b5505e3568051710e0c6fad0,f0a9445066e49ed8a1da9cedd0fe9862,a6f38f97321ed943bfb1e0f4918631a5,M,1930,91
295,0d762a4aec6322ce3a7c4c6dd16a8506,a39c509a2b38031bc5be9850f75f46bf,5afd0594ef759a5f7510da09b07724c1,M,1956,65
296,7e2e556f585b5dd3662e89d1c21a2219,d6291ce17b069ec28837e3f8afd56813,276a93d6277ea17ae6f3a84ced42d335,M,1966,55
297,4bd11047d6957d1bf7d28b114e0c71e3,566fc54691f012ef160b4e117d33fb78,f216577e7feb3439ebf980bf13a29667,M,1939,82
298,b6937dec5c4cd8a0e03606bf2f41cf6a,300e6befa81dfe432ddf15a3adf07bfc,1390f0ac36d641755062e206f1b9909d,F,1982,39
299,3941e595254fd5c831bfd6fd5849b1c5,6d13bbc482a88e4c0dbf1b520dc8b281,bcabfd6dcef7d075c1305309040a091c,M,1950,71
300,cfd14eee69ab38ad86eee9ea547f4f4d,8e410fee0fa158a0fb6afa88b1a9c26b,61921ba9e4cda0c827c9b12faf068a7c,M,1964,57
301,944a13cae4837c4970f0000c3be31f4d,eeb781a468f41a6114a22b303c889fff,5385d549b4995636e1a0bed87661ba17,F,1968,53
303,eb8ee890d4dfdb471d2f6a6de471931d,f1dc48be8efb5bbf45c3f981f31ec639,ee1e478dbdf177dc618699cea55e93ee,M,1954,67
