,201908,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,Usage_Rating_Scaled,Usage_Rating_Categorical
year-month,,,,,,,,,,,,,,
PSTN.hash,,,,,,,,,,,,,,
1669ff89d30a1302cf4ddf294cb239bb,0.75,0.75,0.75,1.0,1.0,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.7708333333333334,HIGH
167671a939e03e258ca9cd94a3349a25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,HIGH
16d9c308f2af512eb10bac235f3e1157,0.08333333333333333,0.0625,0.0,0.0625,0.0625,0.5,0.0625,0.0,0.0,0.5625,0.5,0.75,0.22048611111111108,LOW
16defee4db12954ddf4aedcfdc2319a8,0.5,0.5,0.5,0.375,0.5,0.375,0.5,0.75,0.75,0.5625,0.25,0.5,0.5052083333333334,MEDIUM
1718521668d90b7eaa9448ee3001fd91,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,1.0,0.0625,0.0,0.6927083333333334,HIGH
171dac6dcb8dc43fdaee2a0150b82464,0.08333333333333333,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.1875,0.1875,0.1875,0.125,0.1875,0.11631944444444443,LOW
172a00720fdd2fb75af7a5926e3cb292,0.25,0.375,0.375,0.1875,0.375,0.125,0.0625,0.0,0.0625,0.125,0.125,0.0625,0.17708333333333334,LOW
17461abd06a23ca91771a31a836c8047,0.3333333333333333,0.25,0.25,0.375,0.25,0.5625,0.375,0.1875,0.1875,0.1875,0.375,0.375,0.30902777777777773,LOW
175bdf5cb94b7d022ef1e6e78e7a625d,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,LOW
17c4f7e210dcaaeaf0812610a177d4d5,0.08333333333333333,0.0625,0.125,0.0,0.1875,0.25,0.25,0.125,0.0,0.0,0.0,0.125,0.10069444444444443,LOW
17ccd35e1f309471c94ef68c9f2d8e60,0.5,0.375,0.375,0.375,0.5625,0.375,0.5625,0.375,0.375,0.375,0.375,0.5,0.4270833333333333,MEDIUM
181a7b610b22c6267198e27a353eba86,0.5,0.5625,0.5,0.375,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.75,0.515625,MEDIUM
184546eb59e9c5e212ecc3f19a93d6e1,0.25,0.375,0.1875,0.375,0.75,0.5625,0.5,0.5,0.375,1.0,1.0,0.375,0.5208333333333334,MEDIUM
1864a9172017fde8c5489191090965d3,0.5,0.5,0.5,0.5,0.25,0.375,0.5,0.5,0.75,0.75,0.5,0.75,0.53125,MEDIUM
1893b439f094b5a4bdb7a99fddd3c7e1,0.16666666666666666,0.375,0.375,0.1875,0.375,0.1875,0.5,0.75,0.5,0.1875,0.5625,0.375,0.37847222222222215,MEDIUM
1895c2362b1990f8870e0d5ef87d2f6c,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.8333333333333334,HIGH
18a02e6eed633623ac7cde115ab7c0de,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.25,0.375,0.125,0.1875,0.1875,0.109375,LOW
18bb36266dc70c1b0a081aa5e4baeba6,0.3333333333333333,0.25,0.375,0.25,0.375,0.1875,0.1875,0.0625,0.1875,0.25,0.375,0.375,0.2673611111111111,LOW
18d9469b1885b5988f72e8e7f62009ee,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.8541666666666666,HIGH
19507c84b78e0c118add731dd590ec63,0.5,0.75,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.6770833333333334,HIGH
197acdce474cc8dbb31c858982a40ea3,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.75,1.0,1.0,0.75,1.0,0.9166666666666666,HIGH
